"","primera_palabra","segunda_palabra","tercera_palabra","cuarta_palabra","quinta_palabra","gaais_1n","gaais_2n","gaais_3n","gaais_4n","gaais_5n","gaais_6n","gaais_7n","gaais_8n","gaais_9n","gaais_1p","gaais_2p","gaais_3p","gaais_4p","gaais_5p","gaais_6p","gaais_7p","gaais_8p","conocimiento","experiencia","edad","genero","estudio","ocupacion","uso_redes","uso_plataformas","uso_apps","uso_ias","uso_asistentes","uso_robots","minipip1","minipip2","minipip3","minipip4","minipip5","minipip6r","minipip7r","minipip8r","minipip9r","minipip10r","minipip11","minipip12","minipip13","minipip14","minipip15r","minipip16r","minipip17r","minipip18r","minipip19r","minipip20r","id"
"173","Esclavitud","Dependencia","Dominio","Obligacion","Herramienta",2,4,4,5,4,4,4,4,5,3,2,2,4,3,4,2,1,8,4,41,"Varón","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",1,3,3,1,1,1,1,3,2,4,4,2,2,4,1,1,1,1,1,1,1,5,2,5,1,1,173
"174","Ayuda","Desconfianza","Criterios","Revisión","Evolución",3,4,1,1,4,1,5,1,3,5,3,3,5,5,5,5,5,7,7,61,"Mujer","Posgrado","Ocupado/a en servicios de salud",4,3,2,3,2,1,4,5,5,3,5,1,1,3,2,1,4,4,5,2,1,3,1,3,2,1,174
"175","Trampa","Plagio","Ayuda","Herramienta","Diversión",1,3,2,4,4,4,3,2,5,4,2,4,2,4,4,3,4,5,4,32,"Mujer","Posgrado","Ocupado/a en servicios de salud",4,4,2,2,2,2,3,4,5,1,4,2,1,1,3,1,3,4,5,1,1,3,1,1,3,4,175
"176","Computadora","Estadística","Programación","Error","Cuidado",5,2,5,1,4,3,4,1,3,5,2,5,4,5,5,5,4,2,3,47,"Mujer","Posgrado","Ocupado/a en servicios de salud",4,4,4,2,2,3,1,5,5,5,5,2,1,1,2,1,1,5,5,2,1,5,1,1,2,1,176
"177","computadora","futuro","incertidumbre","ciencia ficción","desafío",1,3,4,5,1,4,1,1,5,5,1,3,4,5,5,2,3,1,1,59,"Mujer","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,3,2,1,2,1,1,5,4,1,5,1,1,4,1,1,5,5,4,1,1,5,1,4,3,1,177
"178","Rapidez","Reemplazo","Tecnología","Avsnces","Cambio",4,2,1,3,2,2,3,1,1,4,1,3,4,5,4,3,2,4,4,51,"Mujer","Posgrado","Ocupado/a en servicios de salud",3,4,2,2,2,1,1,4,5,2,4,1,1,1,3,2,4,4,4,2,4,4,1,1,4,2,178
"179","Regulaciones","Robots","Riesgos","Desempleo","Complejo",2,5,4,2,5,4,5,5,5,3,3,4,3,3,5,1,3,5,5,34,"Mujer","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,4,2,1,1,5,3,2,5,5,1,3,2,1,1,5,5,1,1,4,1,3,1,1,179
"180","Copia","Irreal","Es como un sueño interpretado","Miedo","Tonos oscuros",1,5,5,4,1,5,1,5,5,3,1,2,2,3,4,1,1,7,7,33,"Mujer","Universitario o terciario",NA,3,2,1,1,2,1,3,5,4,5,4,3,1,5,3,3,3,2,5,3,3,5,1,2,1,5,180
"181","Ubicuidad","Conciencia","Derechos","Libertad","Preocupacion",1,5,4,4,4,5,2,4,5,2,1,4,4,4,4,2,2,2,1,76,"Varón","Posgrado","Ocupado/a en servicios de salud",4,4,2,1,2,1,3,4,4,2,4,3,1,2,3,1,4,5,4,4,1,2,1,2,2,1,181
"182","robots","chat gtp","datos","rapidez","volumen",2,5,3,3,2,5,1,4,4,4,1,1,3,4,5,2,3,4,6,33,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",4,4,2,2,1,1,3,4,3,3,4,1,2,4,2,3,4,1,5,4,4,3,2,2,3,2,182
"183","asistencia","posible","difícil","inquietante","futuro",2,3,2,2,5,4,3,1,3,5,3,4,5,5,5,4,4,3,2,59,"Mujer","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",4,3,3,1,2,1,3,5,4,2,4,4,1,3,4,2,3,5,4,1,1,3,1,3,2,1,183
"184","Computadora","Redes sociales","Algoritmo","Robot","Técnica",1,4,3,3,4,5,2,4,5,4,1,4,3,4,5,3,4,2,2,28,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",4,4,4,2,2,1,3,5,2,5,3,2,1,2,1,1,3,5,4,5,3,4,1,3,1,4,184
"185","Ayuda","Facilidad","Accesibilidad","Respuestas","Productividad",3,3,2,2,3,5,3,3,2,5,2,4,5,5,5,4,5,4,6,24,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,3,3,2,1,3,5,4,3,5,1,2,3,3,1,3,2,3,3,1,4,1,4,3,1,185
"186","ROBOT","ESTUDIO","FUTURO","RESPONSABILIDAD","APLICACION",1,3,2,3,2,3,3,1,5,3,2,3,3,3,3,3,3,2,2,50,"Mujer","Posgrado","Ocupado/a en administración o gestión",1,2,1,1,1,2,4,4,4,2,3,1,1,1,4,3,5,4,2,3,3,3,1,2,4,3,186
"187","ayuda","ideas","rapidez","facilidad","recurso",2,1,1,1,3,2,2,1,1,5,3,3,5,5,3,4,3,5,7,60,"Mujer","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",4,4,4,3,3,3,2,4,4,2,4,2,1,2,1,1,3,4,3,2,1,3,1,3,3,1,187
"188","tecnología","red","comunicación","propuesta","trayecto",2,3,2,1,3,4,4,2,2,4,3,4,4,5,4,3,3,5,2,33,"Mujer","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",4,3,3,1,2,1,2,5,3,4,2,2,1,2,2,2,3,5,5,5,2,5,1,4,2,3,188
"189","robot","automatización","asombro","incertidumbre","enigma",4,3,2,3,4,3,3,2,3,4,3,3,3,4,5,3,4,6,6,43,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",4,4,3,2,2,1,1,4,4,2,2,4,2,1,3,1,1,4,5,4,2,4,2,1,3,3,189
"190","Evolución","desarrollo","conocimiento","asistencia","soporte",3,2,1,1,5,1,4,1,2,5,1,4,5,5,2,4,3,9,9,46,"Varón","Secundario","Ocupado/a en matemáticas o computación",4,4,3,4,4,4,3,4,2,1,4,2,2,4,3,3,2,4,2,2,3,3,2,4,4,4,190
"191","Innovación","Creación","Contenido","Peligroso","Progreso",3,4,3,3,2,4,4,2,4,4,1,3,4,4,4,3,4,7,7,25,"Varón","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,4,1,1,3,4,2,4,4,3,2,4,2,2,3,4,2,4,2,5,2,4,2,2,191
"192","Herramienta","Complemento","Facilidad","Transhumanismo","Cibernética",5,2,2,1,5,3,2,1,3,4,3,3,5,5,3,3,5,8,8,24,"Varón","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",2,4,3,4,1,1,1,2,2,4,5,3,2,4,1,1,1,2,2,5,1,3,2,5,1,1,192
"193","tecnologia","avances","innovación","agilidad","productividad",3,4,5,2,3,2,4,1,2,5,4,5,5,4,5,5,5,7,4,48,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",4,4,4,2,3,1,4,5,5,2,5,1,1,1,1,3,5,5,5,1,3,4,1,1,4,1,193
"194","Robot","Búsqueda","Herramienta","Desarrollo","Cuidado",2,3,1,1,4,2,2,1,2,2,1,1,3,5,4,4,1,6,4,25,"Varón","Universitario o terciario","Ocupado/a en comunicación, arte, deportes, o entretenimiento",4,4,2,2,1,1,1,5,4,1,3,5,2,3,4,2,2,2,5,1,4,5,1,3,4,2,194
"195","herramienta","utilidad","velocidad","responsabilidad","adaptación",2,3,3,1,3,4,1,3,4,2,1,3,2,4,5,2,3,6,8,35,"Varón","Universitario o terciario","Ocupado/a en administración o gestión",4,3,3,2,1,1,3,5,4,2,4,1,2,4,3,2,3,4,5,3,3,3,1,2,3,2,195
"196","Futuro","Robot","Avance","Intelegencia","Datos",1,5,4,4,5,4,3,3,4,5,4,5,3,5,5,4,4,7,8,45,"Mujer","Universitario o terciario","Ocupado/a en comunicación, arte, deportes, o entretenimiento",4,4,4,4,2,2,5,5,4,4,5,1,2,3,2,2,5,4,4,2,3,3,2,3,3,1,196
"197","Tecnologia","Robots","Ciencia","Futuro","Cambios",1,3,2,1,3,3,3,1,3,5,1,3,5,4,5,3,4,6,5,40,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,3,1,3,4,4,5,5,1,5,3,1,4,2,3,4,4,3,3,3,1,5,3,3,1,197
"198","Dispositivo","Aplicacion","Chat gpt","Prompt","Facil",3,5,4,5,1,5,1,3,4,3,2,3,3,3,5,3,1,5,4,48,"Mujer","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",4,4,2,1,2,2,1,5,4,1,4,1,1,1,3,1,4,4,5,1,1,5,1,1,4,1,198
"199","gpt","generativa","saber","copiloto","respuestas",4,4,1,1,5,3,3,1,4,5,4,5,5,5,5,5,5,7,8,44,"Mujer","Universitario o terciario","Ocupado/a en matemáticas o computación",2,4,2,4,2,2,2,4,5,1,4,2,2,1,5,1,3,5,5,1,2,1,1,1,4,4,199
"200","Presente","Futuro","Tecnología","Posibilidades","Avance",2,4,4,4,3,3,3,4,4,4,3,4,3,3,5,2,3,3,3,40,"Mujer","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",2,4,3,2,2,1,3,4,5,4,5,4,2,1,3,3,2,4,5,3,2,4,2,1,3,1,200
"201","Tecnología","Digitalidad","Aceleración","Automatización","Desarollo",3,2,3,1,3,2,3,1,1,5,1,3,3,5,5,3,5,7,7,23,"Varón","Universitario o terciario","Estudiante",4,4,3,3,2,1,3,5,5,1,3,2,1,2,4,1,2,3,5,1,1,3,1,2,3,1,201
