"","palabra_1","palabra_2","palabra_3","palabra_4","palabra_5","gaais_1n","gaais_2n","gaais_3n","gaais_4n","gaais_5n","gaais_6n","gaais_7n","gaais_8n","gaais_9n","gaais_1p","gaais_2p","gaais_3p","gaais_4p","gaais_5p","gaais_6p","gaais_7p","gaais_8p","conocimiento","experiencia","edad","genero","estudio","ocupacion","uso_redes","uso_plataformas","uso_apps","uso_ias","uso_asistentes","uso_robots","minipip_1","minipip_2","minipip_3","minipip_4","minipip_5","minipip_6r","minipip_7r","minipip_8r","minipip_9r","minipip_10r","minipip_11","minipip_12","minipip_13","minipip_14","minipip_15r","minipip_16r","minipip_17r","minipip_18r","minipip_19r","minipip_20r","timestamp","id"
"157","Apertura","Crecimiento","Innovación","Cambio","Futuro",5,1,1,1,4,1,4,1,4,5,1,5,4,5,5,4,4,7,7,51,"Mujer","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",4,4,2,4,3,3,3,4,4,4,5,1,1,2,1,1,5,4,4,2,2,2,1,3,4,1,2024-04-24 22:54:55.584,157
"158","Copia","Automático","Simulación","Irreal","Opción",1,2,5,3,1,3,1,5,5,3,1,1,3,3,4,3,1,2,2,48,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,3,1,2,2,4,5,5,5,5,1,3,1,1,2,1,3,5,4,4,4,1,1,5,1,2024-04-24 23:02:39.098,158
"159","Progreso","Simplicidad","Avance","Fin de los tiempos","Revolución",2,5,5,3,5,5,3,3,5,5,1,5,5,5,5,5,5,4,10,41,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,4,3,1,4,1,5,5,4,3,3,1,1,1,1,3,5,5,5,2,1,1,1,3,1,2024-04-25 07:16:04.785,159
"160","tecnologia","simplicidad","rapidez","precaucion","datos",1,4,2,3,4,5,2,1,2,4,1,2,2,5,5,4,3,3,3,23,"Mujer","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,4,1,1,3,5,4,1,3,4,1,1,2,2,4,4,5,2,1,5,2,1,4,2,2024-04-25 15:23:03.336,160
"161","Rapidez","Procesamiento","Amplitud","Tecnología","Ingenio",3,2,2,2,2,2,2,2,4,2,2,4,5,5,2,2,4,4,4,30,"Mujer","Universitario o terciario","Estudiante",3,4,3,3,1,1,1,4,4,2,5,2,2,2,1,1,2,3,5,1,2,5,2,3,1,1,2024-04-26 09:03:17.629,161
"162","Maquina","Robot","Cerebro","Digital","Imitación",4,2,1,1,3,3,2,4,1,2,5,5,5,5,3,3,1,4,4,27,"Varón","Universitario o terciario","Estudiante",4,4,1,2,1,1,1,2,1,1,2,5,5,2,3,3,1,1,5,2,5,5,3,3,1,4,2024-04-26 20:25:50.96,162
"163","Futuro","Llegó","Crisis","Oportunidad","Incognita",4,3,3,3,4,3,3,3,3,4,2,4,4,4,4,4,4,7,7,64,"Varón","Universitario o terciario","Ocupado/a en administración o gestión",4,4,4,3,4,4,3,4,4,2,4,2,2,2,2,1,2,2,4,2,2,4,2,2,4,2,2024-04-27 13:20:38.613,163
"164","Catastrofe","velocidad","reemplazo","futuro","Maquina",1,5,4,3,5,5,4,4,3,3,1,2,3,4,5,2,2,5,3,28,"Varón","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,2,2,1,1,4,1,2,3,5,2,1,2,1,1,3,3,3,1,4,2,5,2,2,2024-04-27 17:46:31.947999,164
"165","Rapidez","Riesgo","Comodidad","Pasividad","Avances",2,4,4,4,3,5,2,2,4,3,1,4,4,4,5,3,2,5,3,37,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,2,2,2,1,3,5,3,3,4,1,1,3,4,3,4,5,3,2,2,4,1,4,2,2,2024-04-28 16:57:51.786,165
"166","Avances","Tecnología","Desarrollo","Riesgos","Futuro",1,2,3,2,3,4,2,2,1,3,3,3,3,4,4,2,3,3,1,42,"Mujer","Posgrado","Ocupado/a en servicios de salud",4,2,2,1,1,1,3,5,4,2,3,3,1,2,3,2,3,4,5,3,2,5,1,2,3,2,2024-04-29 06:30:28.136001,166
"167","Futuro","Progreso","Crecimiento","Resolucion","Ayuda",5,1,1,1,5,1,5,1,1,5,5,5,5,5,5,5,5,7,8,53,"Mujer","Universitario o terciario","Ocupado/a en servicios de salud",4,4,4,4,4,2,4,5,5,3,4,2,2,1,4,1,4,3,5,3,1,2,1,1,2,1,2024-04-29 08:12:00.082,167
"168","Herramienta de trabajo","Iinformativa","Imprecisa","Superficial","Recurso pedagógica",4,3,4,1,3,4,1,3,1,4,3,3,4,4,3,4,4,6,6,58,"Varón","Posgrado","Ocupado/a en servicios de salud",3,2,3,2,1,1,4,2,2,3,4,3,1,2,2,1,1,5,5,3,2,1,1,3,2,3,2024-04-29 08:44:46.186,168
"169","Computadora","Pensar","Resolución de problemas","Recurso","Idealización",1,3,2,2,3,2,3,2,3,4,3,3,3,4,4,3,3,2,2,40,"Mujer","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,3,1,2,3,1,3,4,2,1,2,1,2,3,2,4,4,5,3,4,2,4,2,5,4,4,2024-04-29 08:56:37.441999,169
"170","Programa","Información","Informatica","Resolución","Problema",3,1,1,1,5,1,3,1,1,3,2,3,2,4,4,2,2,5,4,58,"Varón","Posgrado","Ocupado/a en servicios de salud",3,3,2,3,1,2,1,4,4,1,2,2,2,1,1,2,3,2,2,1,1,2,1,3,4,1,2024-04-29 09:11:52.848,170
"171","Rapido,","Practico","Fluido","Permeable","Capaz",2,2,2,2,3,4,4,1,2,4,3,4,4,3,4,4,4,6,6,26,"Mujer","Universitario o terciario","Ocupado/a en servicios de salud",4,4,3,3,2,1,3,5,3,4,2,2,2,1,2,2,3,4,5,2,2,2,1,1,1,2,2024-04-29 09:13:17.309,171
"172","Miedo","Humano","Robot","Mecánico","Tecnología",5,1,1,1,5,1,3,1,3,5,3,5,5,5,3,2,2,5,5,39,"Varón","Universitario o terciario","Ocupado/a en ventas y actividades comerciales",4,4,2,2,4,1,3,3,3,2,3,3,2,1,2,1,2,3,1,3,1,2,1,1,3,3,2024-04-29 09:25:54.488,172
"173","Esclavitud","Dependencia","Dominio","Obligacion","Herramienta",2,4,4,5,4,4,4,4,5,3,2,2,4,3,4,2,1,8,4,41,"Varón","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",1,3,3,1,1,1,1,3,2,4,4,2,2,4,1,1,1,1,1,1,1,5,2,5,1,1,2024-04-29 10:50:09.374,173
"174","Ayuda","Desconfianza","Criterios","Revisión","Evolución",3,4,1,1,4,1,5,1,3,5,3,3,5,5,5,5,5,7,7,61,"Mujer","Posgrado","Ocupado/a en servicios de salud",4,3,2,3,2,1,4,5,5,3,5,1,1,3,2,1,4,4,5,2,1,3,1,3,2,1,2024-04-29 11:12:02.302,174
"175","Trampa","Plagio","Ayuda","Herramienta","Diversión",1,3,2,4,4,4,3,2,5,4,2,4,2,4,4,3,4,5,4,32,"Mujer","Posgrado","Ocupado/a en servicios de salud",4,4,2,2,2,2,3,4,5,1,4,2,1,1,3,1,3,4,5,1,1,3,1,1,3,4,2024-04-29 11:18:32.197,175
"176","Computadora","Estadística","Programación","Error","Cuidado",5,2,5,1,4,3,4,1,3,5,2,5,4,5,5,5,4,2,3,47,"Mujer","Posgrado","Ocupado/a en servicios de salud",4,4,4,2,2,3,1,5,5,5,5,2,1,1,2,1,1,5,5,2,1,5,1,1,2,1,2024-04-29 11:36:06.208,176
"177","computadora","futuro","incertidumbre","ciencia ficción","desafío",1,3,4,5,1,4,1,1,5,5,1,3,4,5,5,2,3,1,1,59,"Mujer","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,3,2,1,2,1,1,5,4,1,5,1,1,4,1,1,5,5,4,1,1,5,1,4,3,1,2024-04-29 13:17:35.214,177
"178","Rapidez","Reemplazo","Tecnología","Avsnces","Cambio",4,2,1,3,2,2,3,1,1,4,1,3,4,5,4,3,2,4,4,51,"Mujer","Posgrado","Ocupado/a en servicios de salud",3,4,2,2,2,1,1,4,5,2,4,1,1,1,3,2,4,4,4,2,4,4,1,1,4,2,2024-04-29 13:39:56.254,178
"179","Regulaciones","Robots","Riesgos","Desempleo","Complejo",2,5,4,2,5,4,5,5,5,3,3,4,3,3,5,1,3,5,5,34,"Mujer","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,4,2,1,1,5,3,2,5,5,1,3,2,1,1,5,5,1,1,4,1,3,1,1,2024-05-03 17:25:19.456,179
"180","Copia","Irreal","Es como un sueño interpretado","Miedo","Tonos oscuros",1,5,5,4,1,5,1,5,5,3,1,2,2,3,4,1,1,7,7,33,"Mujer","Universitario o terciario",NA,3,2,1,1,2,1,3,5,4,5,4,3,1,5,3,3,3,2,5,3,3,5,1,2,1,5,2024-05-04 09:27:56.708,180
"181","Ubicuidad","Conciencia","Derechos","Libertad","Preocupacion",1,5,4,4,4,5,2,4,5,2,1,4,4,4,4,2,2,2,1,76,"Varón","Posgrado","Ocupado/a en servicios de salud",4,4,2,1,2,1,3,4,4,2,4,3,1,2,3,1,4,5,4,4,1,2,1,2,2,1,2024-05-04 11:14:45.932,181
"182","robots","chat gtp","datos","rapidez","volumen",2,5,3,3,2,5,1,4,4,4,1,1,3,4,5,2,3,4,6,33,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",4,4,2,2,1,1,3,4,3,3,4,1,2,4,2,3,4,1,5,4,4,3,2,2,3,2,2024-05-04 17:35:16.000999,182
"183","asistencia","posible","difícil","inquietante","futuro",2,3,2,2,5,4,3,1,3,5,3,4,5,5,5,4,4,3,2,59,"Mujer","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",4,3,3,1,2,1,3,5,4,2,4,4,1,3,4,2,3,5,4,1,1,3,1,3,2,1,2024-05-05 13:14:11.341,183
"184","Computadora","Redes sociales","Algoritmo","Robot","Técnica",1,4,3,3,4,5,2,4,5,4,1,4,3,4,5,3,4,2,2,28,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",4,4,4,2,2,1,3,5,2,5,3,2,1,2,1,1,3,5,4,5,3,4,1,3,1,4,2024-05-05 22:09:48.958,184
"185","Ayuda","Facilidad","Accesibilidad","Respuestas","Productividad",3,3,2,2,3,5,3,3,2,5,2,4,5,5,5,4,5,4,6,24,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,3,3,2,1,3,5,4,3,5,1,2,3,3,1,3,2,3,3,1,4,1,4,3,1,2024-05-07 11:32:09.95,185
"186","ROBOT","ESTUDIO","FUTURO","RESPONSABILIDAD","APLICACION",1,3,2,3,2,3,3,1,5,3,2,3,3,3,3,3,3,2,2,50,"Mujer","Posgrado","Ocupado/a en administración o gestión",1,2,1,1,1,2,4,4,4,2,3,1,1,1,4,3,5,4,2,3,3,3,1,2,4,3,2024-05-07 14:12:32.674,186
"187","ayuda","ideas","rapidez","facilidad","recurso",2,1,1,1,3,2,2,1,1,5,3,3,5,5,3,4,3,5,7,60,"Mujer","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",4,4,4,3,3,3,2,4,4,2,4,2,1,2,1,1,3,4,3,2,1,3,1,3,3,1,2024-05-07 15:48:26.278,187
"188","tecnología","red","comunicación","propuesta","trayecto",2,3,2,1,3,4,4,2,2,4,3,4,4,5,4,3,3,5,2,33,"Mujer","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",4,3,3,1,2,1,2,5,3,4,2,2,1,2,2,2,3,5,5,5,2,5,1,4,2,3,2024-05-08 11:47:43.283,188
"189","robot","automatización","asombro","incertidumbre","enigma",4,3,2,3,4,3,3,2,3,4,3,3,3,4,5,3,4,6,6,43,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",4,4,3,2,2,1,1,4,4,2,2,4,2,1,3,1,1,4,5,4,2,4,2,1,3,3,2024-05-08 14:03:57.991,189
"190","Evolución","desarrollo","conocimiento","asistencia","soporte",3,2,1,1,5,1,4,1,2,5,1,4,5,5,2,4,3,9,9,46,"Varón","Secundario","Ocupado/a en matemáticas o computación",4,4,3,4,4,4,3,4,2,1,4,2,2,4,3,3,2,4,2,2,3,3,2,4,4,4,2024-05-08 14:16:25.473,190
"191","Innovación","Creación","Contenido","Peligroso","Progreso",3,4,3,3,2,4,4,2,4,4,1,3,4,4,4,3,4,7,7,25,"Varón","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,4,1,1,3,4,2,4,4,3,2,4,2,2,3,4,2,4,2,5,2,4,2,2,2024-05-09 20:15:54.962,191
"192","Herramienta","Complemento","Facilidad","Transhumanismo","Cibernética",5,2,2,1,5,3,2,1,3,4,3,3,5,5,3,3,5,8,8,24,"Varón","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",2,4,3,4,1,1,1,2,2,4,5,3,2,4,1,1,1,2,2,5,1,3,2,5,1,1,2024-05-09 21:51:16.109,192
"193","tecnologia","avances","innovación","agilidad","productividad",3,4,5,2,3,2,4,1,2,5,4,5,5,4,5,5,5,7,4,48,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",4,4,4,2,3,1,4,5,5,2,5,1,1,1,1,3,5,5,5,1,3,4,1,1,4,1,2024-05-10 13:55:19.237,193
"194","Robot","Búsqueda","Herramienta","Desarrollo","Cuidado",2,3,1,1,4,2,2,1,2,2,1,1,3,5,4,4,1,6,4,25,"Varón","Universitario o terciario","Ocupado/a en comunicación, arte, deportes, o entretenimiento",4,4,2,2,1,1,1,5,4,1,3,5,2,3,4,2,2,2,5,1,4,5,1,3,4,2,2024-05-10 14:10:44.384,194
"195","herramienta","utilidad","velocidad","responsabilidad","adaptación",2,3,3,1,3,4,1,3,4,2,1,3,2,4,5,2,3,6,8,35,"Varón","Universitario o terciario","Ocupado/a en administración o gestión",4,3,3,2,1,1,3,5,4,2,4,1,2,4,3,2,3,4,5,3,3,3,1,2,3,2,2024-05-10 14:24:33.308,195
"196","Futuro","Robot","Avance","Intelegencia","Datos",1,5,4,4,5,4,3,3,4,5,4,5,3,5,5,4,4,7,8,45,"Mujer","Universitario o terciario","Ocupado/a en comunicación, arte, deportes, o entretenimiento",4,4,4,4,2,2,5,5,4,4,5,1,2,3,2,2,5,4,4,2,3,3,2,3,3,1,2024-05-10 14:35:44.883,196
"197","Tecnologia","Robots","Ciencia","Futuro","Cambios",1,3,2,1,3,3,3,1,3,5,1,3,5,4,5,3,4,6,5,40,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,3,1,3,4,4,5,5,1,5,3,1,4,2,3,4,4,3,3,3,1,5,3,3,1,2024-05-11 14:24:54.624,197
"198","Dispositivo","Aplicacion","Chat gpt","Prompt","Facil",3,5,4,5,1,5,1,3,4,3,2,3,3,3,5,3,1,5,4,48,"Mujer","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",4,4,2,1,2,2,1,5,4,1,4,1,1,1,3,1,4,4,5,1,1,5,1,1,4,1,2024-05-11 21:11:24.605,198
"199","gpt","generativa","saber","copiloto","respuestas",4,4,1,1,5,3,3,1,4,5,4,5,5,5,5,5,5,7,8,44,"Mujer","Universitario o terciario","Ocupado/a en matemáticas o computación",2,4,2,4,2,2,2,4,5,1,4,2,2,1,5,1,3,5,5,1,2,1,1,1,4,4,2024-05-13 11:18:50.745,199
"200","Presente","Futuro","Tecnología","Posibilidades","Avance",2,4,4,4,3,3,3,4,4,4,3,4,3,3,5,2,3,3,3,40,"Mujer","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",2,4,3,2,2,1,3,4,5,4,5,4,2,1,3,3,2,4,5,3,2,4,2,1,3,1,2024-05-14 13:43:20.641,200
"201","Tecnología","Digitalidad","Aceleración","Automatización","Desarollo",3,2,3,1,3,2,3,1,1,5,1,3,3,5,5,3,5,7,7,23,"Varón","Universitario o terciario","Estudiante",4,4,3,3,2,1,3,5,5,1,3,2,1,2,4,1,2,3,5,1,1,3,1,2,3,1,2024-05-17 12:03:32.709,201
"202","DESCONFIANZA","PELIGRO","CONTROL","AVANCE TECNOLOGICO","MANIPULABLE",2,5,3,3,2,4,2,4,5,4,2,3,2,2,5,1,1,5,4,36,"Varón","Universitario o terciario","Ocupado/a en administración o gestión",1,4,2,1,2,1,3,5,3,3,4,2,1,1,2,1,2,5,3,2,2,3,1,2,3,1,2024-08-20 12:18:42.355,202
